country,city,region,type,size,sports,percentage,Links,logo,Music,University
United States,Cambridge,North America,Private,M,VollyBall,A,https://www.topuniversities.com/universities/massachusetts-institute-technology-mit,https://www.topuniversities.com/sites/default/files/massachusetts-institute-of-technology-mit_410_small.jpg,NO,Massachusetts Institute of Technology (MIT) 
United States,Stanford,North America,Private,L,Football,A,https://www.topuniversities.com/universities/stanford-university,https://www.topuniversities.com/sites/default/files/stanford-university_573_small.jpg,YES,Stanford University
United States,Cambridge,North America,Private,L,Football,A,https://www.topuniversities.com/universities/harvard-university,https://www.topuniversities.com/sites/default/files/harvard-university_253_small.jpg,YES,Harvard University
United Kingdom,Cambridge,Europe,Public,L,Football,A,https://www.topuniversities.com/universities/university-cambridge,https://www.topuniversities.com/sites/default/files/university-of-cambridge_95_small.jpg,YES,University of Cambridge
United States,Pasadena,North America,Private,S,Tanis,B,https://www.topuniversities.com/universities/california-institute-technology-caltech,https://www.topuniversities.com/sites/default/files/california-institute-of-technology-caltech_94_small.jpg,NO,California Institute of Technology (Caltech)
United Kingdom,Oxford,Europe,Public,L,Football,C,https://www.topuniversities.com/universities/university-oxford,https://www.topuniversities.com/sites/default/files/university-of-oxford_478_small.jpg,YES,University of Oxford
United Kingdom,London,Europe,Public,XL,Cricket,A,https://www.topuniversities.com/universities/ucl,https://www.topuniversities.com/sites/default/files/ucl_592560cf2aeae70239af4bf1_small.jpg,YES,UCL
Switzerland,Zurich,Europe,Public,L,Football,B,https://www.topuniversities.com/universities/eth-zurich-swiss-federal-institute-technology,https://www.topuniversities.com/sites/default/files/eth-zurich-swiss-federal-institute-of-technology_201_small.jpg,YES,ETH Zurich - Swiss Federal Institute of Technology
United Kingdom,London,Europe,Public,L,Football,C,https://www.topuniversities.com/universities/imperial-college-london,https://www.topuniversities.com/sites/default/files/imperial-college-london_592560cf2aeae70239af4be8_small.jpg,YES,Imperial College London
United States,Chicago,North America,Private,L,Football,B,https://www.topuniversities.com/universities/university-chicago,https://www.topuniversities.com/sites/default/files/university-of-chicago_120_small.jpg,YES,University of Chicago
United States,Princeton,North America,Private,M,VollyBall,B,https://www.topuniversities.com/universities/princeton-university,https://www.topuniversities.com/sites/default/files/princeton-university_508_small.jpg,NO,Princeton University
Singapore,Singapore,Asia,Public,XL,Cricket,C,https://www.topuniversities.com/universities/national-university-singapore-nus,https://www.topuniversities.com/sites/default/files/national-university-of-singapore-nus_443_small.jpg,YES,National University of Singapore (NUS)
Singapore,Singapore,Asia,Public,L,Football,C,https://www.topuniversities.com/universities/nanyang-technological-university-singapore-ntu,https://www.topuniversities.com/sites/default/files/nanyang-technological-university-singapore-ntu_592560cf2aeae70239af4c32_small.jpg,YES,"Nanyang Technological University, Singapore (NTU)"
Switzerland,Lausanne,Europe,Public,M,VollyBall,C,https://www.topuniversities.com/universities/epfl,https://www.topuniversities.com/sites/default/files/epfl-ecole-polytechnique-federale-de-lausanne_592560cf2aeae70239af4b34_small.jpg,NO,EPFL
United States,New Haven,North America,Private,M,VollyBall,C,https://www.topuniversities.com/universities/yale-university,https://www.topuniversities.com/sites/default/files/yale-university_684_small.jpg,NO,Yale University
United States,Ithaca,North America,Private,L,Football,C,https://www.topuniversities.com/universities/cornell-university,https://www.topuniversities.com/sites/default/files/cornell-university_143_small.jpg,YES,Cornell University
United States,Baltimore,North America,Private,L,Football,C,https://www.topuniversities.com/universities/johns-hopkins-university,https://www.topuniversities.com/sites/default/files/johns-hopkins-university_305_small.jpg,YES,Johns Hopkins University
United States,Philadelphia,North America,Private,L,Football,C,https://www.topuniversities.com/universities/university-pennsylvania,https://www.topuniversities.com/sites/default/files/university-of-pennsylvania_495_small.jpg,YES,University of Pennsylvania
United Kingdom,Edinburgh,Europe,Public,XL,Cricket,D,https://www.topuniversities.com/universities/university-edinburgh,https://www.topuniversities.com/sites/default/files/the-university-of-edinburgh_180_small.jpg,YES,The University of Edinburgh
United States,New YorkÂ City,North America,Private,L,Football,D,https://www.topuniversities.com/universities/columbia-university,https://www.topuniversities.com/sites/default/files/columbia-university_138_small.jpg,YES,Columbia University
United Kingdom,London,Europe,Public,L,Football,D,https://www.topuniversities.com/universities/kings-college-london,https://www.topuniversities.com/sites/default/files/kings-college-london_357_small.jpg,YES,King's College London
Australia,Canberra,Oceania,Public,L,Football,D,https://www.topuniversities.com/universities/australian-national-university,https://www.topuniversities.com/sites/default/files/the-australian-national-university_40_small.jpg,YES,The Australian National University
United States,Ann Arbor,North America,Public,XL,Cricket,D,https://www.topuniversities.com/universities/university-michigan-ann-arbor,https://www.topuniversities.com/sites/default/files/university-of-michigan_403_small.jpg,YES,University of Michigan-Ann Arbor
China (Mainland),Beijing,Asia,Public,XL,Cricket,D,https://www.topuniversities.com/universities/tsinghua-university,https://www.topuniversities.com/sites/default/files/tsinghua-university_626_small.jpg,YES,Tsinghua University
United States,Durham,North America,Private,L,Football,D,https://www.topuniversities.com/universities/duke-university,https://www.topuniversities.com/sites/default/files/duke-university_168_small.jpg,YES,Duke University
United States,Evanston,North America,Private,L,Football,E,https://www.topuniversities.com/universities/northwestern-university,https://www.topuniversities.com/sites/default/files/northwestern-university_592560cf2aeae70239af4c50_small.jpg,YES,Northwestern University
Hong Kong SAR,Hong Kong,Asia,Public,L,Football,E,https://www.topuniversities.com/universities/university-hong-kong,https://www.topuniversities.com/sites/default/files/the-university-of-hong-kong_268_small.jpg,YES,The University of Hong Kong
United States,Berkeley,North America,Public,XL,Cricket,E,https://www.topuniversities.com/universities/university-california-berkeley-ucb,https://www.topuniversities.com/sites/default/files/university-of-california-berkeley-ucb_84_small.jpg,YES,"University of California, Berkeley (UCB)"
United Kingdom,Manchester,Europe,Public,XL,Cricket,E,https://www.topuniversities.com/universities/university-manchester,https://www.topuniversities.com/sites/default/files/the-university-of-manchester_389_small.jpg,YES,The University of Manchester
Canada,Montreal,North America,Public,L,Football,E,https://www.topuniversities.com/universities/mcgill-university,https://www.topuniversities.com/sites/default/files/mcgill-university_592560cf2aeae70239af4c10_small.jpg,YES,McGill University
United States,Los Angeles,North America,Public,XL,Cricket,E,https://www.topuniversities.com/universities/university-california-los-angeles-ucla,https://www.topuniversities.com/sites/default/files/university-of-california-los-angeles-ucla_87_small.jpg,YES,"University of California, Los Angeles (UCLA)"
Canada,Toronto,North America,Public,XL,Cricket,C,https://www.topuniversities.com/universities/university-toronto,https://www.topuniversities.com/sites/default/files/university-of-toronto_619_small.jpg,YES,University of Toronto
France,Paris,Europe,Public,S,Tanis,B,https://www.topuniversities.com/universities/ecole-normale-superieure-paris,https://www.topuniversities.com/sites/default/files/ecole-normale-suprieure-paris_176_small.jpg,NO,"Ecole normale Superieure, Paris"
Japan,Tokyo,Asia,Public,L,Football,B,https://www.topuniversities.com/universities/university-tokyo,https://www.topuniversities.com/sites/default/files/the-university-of-tokyo_615_small.jpg,YES,The University of Tokyo
South Korea,Seoul,Asia,Public,L,Football,E,https://www.topuniversities.com/universities/seoul-national-university,https://www.topuniversities.com/sites/default/files/graduate-school-of-business-seoul-national-university_553_small.jpg,YES,Seoul National University
Hong Kong SAR,Hong Kong,Asia,Public,M,VollyBall,C,https://www.topuniversities.com/universities/hong-kong-university-science-technology,https://www.topuniversities.com/sites/default/files/the-hong-kong-university-of-science-and-technology_269_small.jpg,NO,The Hong Kong University of Science and Technology
Japan,Kyoto,Asia,Public,L,Football,B,https://www.topuniversities.com/universities/kyoto-university,https://www.topuniversities.com/sites/default/files/kyoto-university_328_small.jpg,YES,Kyoto University
United Kingdom,London,Europe,Public,M,VollyBall,C,https://www.topuniversities.com/universities/london-school-economics-political-science-lse,https://www.topuniversities.com/sites/default/files/london-school-of-economics-and-political-science-lse_362_small.jpg,NO,The London School of Economics and Political Science (LSE)
China (Mainland),Beijing,Asia,Public,XL,Cricket,E,https://www.topuniversities.com/universities/peking-university,https://www.topuniversities.com/sites/default/files/peking-university_50_small.jpg,YES,Peking University
United States,San Diego,North America,Public,XL,Cricket,C,https://www.topuniversities.com/universities/university-california-san-diego-ucsd,https://www.topuniversities.com/sites/default/files/university-of-california-san-diego-ucsd_89_small.jpg,YES,"University of California, San Diego (UCSD)"
United Kingdom,Bristol,Europe,Public,L,Football,C,https://www.topuniversities.com/universities/university-bristol,https://www.topuniversities.com/sites/default/files/university-of-bristol_69_small.jpg,YES,University of Bristol
Australia,Parkville,Oceania,Public,S,Tanis,C,https://www.topuniversities.com/universities/university-melbourne,https://www.topuniversities.com/sites/default/files/the-university-of-melbourne_399_small.jpg,NO,The University of Melbourne
China (Mainland),Shanghai,Asia,Public,L,Football,B,https://www.topuniversities.com/universities/fudan-university,https://www.topuniversities.com/sites/default/files/fudan-university_218_small.jpg,YES,Fudan University
